param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,Unnamed: 0,-0.001373496569530074,0.9986274462451828,0.0005633341263919801,-0.00247761116852069,-0.0002693819705394582,0.9975254555767735,0.9997306543095257,0.0,-2.438156158454291,0.014762395286703632,6.081929363506343
lambda_,age,0.038291448982751476,1.0390340141601775,0.015818675720970076,0.007287414286531953,0.069295483678971,1.0073140321091056,1.0717528478396872,0.0,2.4206482045769673,0.015492862492992334,6.012252465730213
lambda_,fin,0.2644112668068441,1.3026638285426195,0.13757950644188202,-0.005239610830040986,0.5340621444437292,0.9947740919878604,1.7058476531111986,0.0,1.9218797453568413,0.05462089099326592,4.1944033417813396
lambda_,mar,0.34949731153126407,1.4183543789663138,0.27094172826785096,-0.18153871778276165,0.8805333408452898,0.8339859545913552,2.41218588065868,0.0,1.2899353442735615,0.19707310779446588,2.343197172379836
lambda_,paro,0.046470197220713896,1.0475668581994395,0.13917128490706368,-0.22630050887929376,0.3192409033207215,0.7974784163085432,1.3760827878923603,0.0,0.3339065041452045,0.7384501116091531,0.4374276365448638
lambda_,prio,-0.07468318609275745,0.9280374549315875,0.021276937918253056,-0.11638521811382807,-0.03298115407168683,0.8901322621732031,0.9675567939231873,0.0,-3.5100532971282608,0.00044801688339715114,11.124159278663036
lambda_,race,-0.24898427803088571,0.779592230013313,0.2192740039433844,-0.6787534285058129,0.18078487244404148,0.5072489204566842,1.1981573948939128,0.0,-1.135493827600158,0.25616846662981624,1.9648351985859536
lambda_,wexp,0.11141418864145831,1.1178578149919294,0.15061302983101688,-0.18378192542979155,0.40661030271270815,0.8321172476529555,1.5017187758854074,0.0,0.7397380476739732,0.4594589567914258,1.1219921027487172
lambda_,Intercept,4.407104963417368,82.03163482519471,0.45467027519370723,3.5159675991967863,5.298242327637949,33.64847041028403,199.98499278105217,0.0,9.692969177586482,3.2299930560257467e-22,71.39088702416562
rho_,Intercept,0.34452442015748536,1.4113185653779687,0.08893160946717626,0.17022166851463857,0.5188271718003321,1.1855676252094245,1.680056076622945,0.0,3.874037838982839,0.00010704678076113573,13.189470969624999
